조사회차,단과대학명,학과명,졸업자_남,졸업자_여,건보가입취업자_남,건보가입취업자_여,교내취업자_남,교내취업자_여,해외취업자_남,해외취업자_여,농림어업종사자_남,농림어업종사자_여,개인창작활동종사자_남,개인창작활동종사자_여,1인창사업자_남,1인창사업자_여,프리랜서_남,프리랜서_여,진학자_남,진학자_여,입대자,취업불가능자_남,취업불가능자_여,외국인유학생_남,외국인유학생_여,제외인정자_남,제외인정자_여,기타_남,기타_여,미상_남,미상_여,입학당시기취업자_남,입학당시기취업자_여,국내진학자_전문대학_남,국내진학자_전문대학_여,국내진학자_대학_남,국내진학자_대학_여,국내진학자_대학원_남,국내진학자_대학원_여,국외진학자_전문대학_남,국외진학자_전문대학_여,국외진학자_대학_남,국외진학자_대학_여,국외진학자_대학원_남,국외진학자_대학원_여
2024-12-31,공과대학,건설환경공학과,125,41,67,19,0,1,0,0,0,0,0,0,1,0,3,1,19,7,1,0,0,1,1,0,0,33,12,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0
2024-12-31,공과대학,신소재금속공학과,21,4,13,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0
2024-12-31,사회과학대학,관광경영학과,63,157,29,74,0,2,0,0,0,0,1,0,1,2,2,5,0,1,0,0,0,14,32,0,0,14,35,2,6,1,3,0,0,0,1,0,0,0,0,0,0,0,0
2024-12-31,자연과학대학,데이터사이언스학과,12,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2024-12-31,자연과학대학,정보통계학과,43,87,14,48,0,0,0,1,0,0,0,0,0,1,3,2,7,10,2,0,0,0,0,0,0,14,24,3,1,0,0,0,0,0,0,7,10,0,0,0,0,0,0
2024-12-31,단과대구분없음,경제학과,213,170,115,64,1,0,0,0,0,0,0,0,1,0,4,4,10,9,1,0,0,47,69,0,0,33,23,1,1,80,48,0,0,0,1,6,7,0,0,0,0,4,1
2024-12-31,단과대구분없음,한국과학기술연구원강릉분원협동과정,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,해양분자생명과학과,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,기계공학과,1489,164,927,90,25,0,5,0,0,0,0,0,11,2,40,3,74,16,20,0,0,107,14,0,0,229,34,51,5,268,24,2,0,14,1,54,15,0,0,0,0,4,0
2024-12-31,단과대구분없음,영양교육전공,10,421,5,250,0,4,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,5,156,0,0,4,202,0,0,0,1,0,0,0,0,0,0,0,0
